date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:29:50	456/456	---MCZ	404	error ('Not%20Found')	text/html	etag:W/%2268e82b08-38a%22	https://www.unfold.co/robots.txt		(from )
21:29:51	57605/57605	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2018:15:07%20GMT	https://www.unfold.co/	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/index.html	(from )
21:29:51	90366/90366	---M-Z	200	added ('OK')	text/css	etag:%22d2e96833cda4e7748dceedce05749e48%22	https://cdn.prod.website-files.com/63dae19244d432799bf5baa4/css/unfoldco.5f50a950d.css	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/cdn.prod.website-files.com/63dae19244d432799bf5baa4/css/unfoldco.5f50a950d.css	(from https://www.unfold.co/)
21:29:52	372/372	---M--	200	added ('OK')	image/png	etag:%22ea17eea262afe1cca3a53ba44a62adb2%22	https://cdn.prod.website-files.com/63dae19244d432799bf5baa4/63dae21e2a17726d5aea06dd_favicon.png	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/cdn.prod.website-files.com/63dae19244d432799bf5baa4/63dae21e2a17726d5aea06dd_favicon.png	(from https://www.unfold.co/)
21:29:52	2756/2756	---M--	200	added ('OK')	image/png	etag:%22d31a29c49aa0e9961b58800aeb67c10e%22	https://cdn.prod.website-files.com/63dae19244d432799bf5baa4/666ae18112d59bce69aca88f_Webclip.png	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/cdn.prod.website-files.com/63dae19244d432799bf5baa4/666ae18112d59bce69aca88f_Webclip.png	(from https://www.unfold.co/)
21:29:53	34351/34351	---MCZ	200	added ('OK')	text/css	etag:W/%22c9d675e8875e1173f9c8b586138027d9%22	https://cdn.plyr.io/3.7.3/plyr.css	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/cdn.plyr.io/3.7.3/plyr.css	(from https://www.unfold.co/)
21:29:53	28481/28481	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Oct%202025%2020:37:09%20GMT	https://www.unfold.co/work	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/work.html	(from https://www.unfold.co/)
21:29:53	37358/37358	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Oct%202025%2020:26:52%20GMT	https://www.unfold.co/about	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/about.html	(from https://www.unfold.co/)
21:29:54	22486/22486	---MCZ	200	added ('OK')	text/html	date:Thu,%2004%20Sep%202025%2014:03:03%20GMT	https://www.unfold.co/contact	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/contact.html	(from https://www.unfold.co/)
21:29:54	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Tue,%2014%20Oct%202025%2016:29:55%20GMT	https://www.unfold.co/%22https://cdn.prod.website-files.com/63dae19244d432799bf5baa4%2F6657fa4d1432e66c43c27103_tK80bh-poster-00001.jpg%22	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/_https_/cdn.prod.website-files.com/63dae19244d432799bf5baa4/6657fa4d1432e66c43c27103_tK80bh-poster-00001.jpg_	(from https://www.unfold.co/)
21:29:55	44182/44182	---MCZ	200	added ('OK')	text/html	date:Fri,%2010%20Oct%202025%2001:04:53%20GMT	https://www.unfold.co/work/safepal	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/work/safepal.html	(from https://www.unfold.co/)
21:29:55	43876/43876	---MCZ	200	added ('OK')	text/html	date:Thu,%2009%20Oct%202025%2016:15:45%20GMT	https://www.unfold.co/work/solana	D:/My%20Projects/Studio%20Fulcrum%20V2/Studio%20Fulcrum/www.unfold.co/work/solana.html	(from https://www.unfold.co/)
